# UniProt_ID,P30542
# Target_name,AA1R_HUMAN Adenosine receptor A1
# Molecules_screened,1687
# Generated_at,2025-08-21T21:44:09
#
Rank,Drug Name,Target Name,Binding Score
128,carotenoids,AA1R_HUMAN,704.89
129,anatabine,AA1R_HUMAN,713.71
130,vinpocetine,AA1R_HUMAN,726.48
131,nucleosides,AA1R_HUMAN,726.98
132,ruscogenins,AA1R_HUMAN,731.03
133,chlorophyll a,AA1R_HUMAN,750.96
134,riboflavin hydrochloride,AA1R_HUMAN,762.39
135,beta-carotene,AA1R_HUMAN,765.05
136,agnuside,AA1R_HUMAN,769.43
137,p73,AA1R_HUMAN,772.15
138,tokyo violet,AA1R_HUMAN,776.09
139,6-paradol,AA1R_HUMAN,778.96
140,cex,AA1R_HUMAN,782.20
141,egcg,AA1R_HUMAN,785.05
142,rad140,AA1R_HUMAN,804.09
143,baicalin,AA1R_HUMAN,811.67
144,methylstenbolone,AA1R_HUMAN,816.66
145,schizandrol a,AA1R_HUMAN,819.16
146,octyl gallate,AA1R_HUMAN,853.63
147,s-23,AA1R_HUMAN,861.54
148,yellows,AA1R_HUMAN,862.67
149,mitragynine,AA1R_HUMAN,867.05
150,triterpenes,AA1R_HUMAN,876.34
151,3-iodotyrosine,AA1R_HUMAN,881.50
152,d-gamma-tocotrienol,AA1R_HUMAN,903.96
153,adenosylcobalamin,AA1R_HUMAN,914.90
154,serotonin,AA1R_HUMAN,931.77
155,tianeptine sodium,AA1R_HUMAN,933.32
156,7;8-dihydroxyflavone,AA1R_HUMAN,938.47
157,ethoxyquin,AA1R_HUMAN,938.64
158,zinc tannate,AA1R_HUMAN,944.35
159,zeaxanthin,AA1R_HUMAN,954.13
160,5-htp,AA1R_HUMAN,967.03
161,igm,AA1R_HUMAN,980.74
162,resveratrol,AA1R_HUMAN,992.47
163,proanthocyanidins,AA1R_HUMAN,1009.73
164,tetrahydrocannabivarin,AA1R_HUMAN,1019.41
165,adenosine triphosphate disodium,AA1R_HUMAN,1023.40
166,riboflavin sodium phosphate,AA1R_HUMAN,1025.74
167,capsaicin,AA1R_HUMAN,1031.06
168,l-glutathione,AA1R_HUMAN,1041.16
169,dehydroabietic acid,AA1R_HUMAN,1045.28
170,mk-7,AA1R_HUMAN,1052.10
171,withanolides,AA1R_HUMAN,1052.93
172,senna,AA1R_HUMAN,1057.17
173,l-methylfolate magnesium,AA1R_HUMAN,1076.85
174,epsilon-viniferin,AA1R_HUMAN,1080.23
175,s-adenosyl-methionine,AA1R_HUMAN,1092.11
176,s-adenosyl-l-methionine tosylate,AA1R_HUMAN,1111.16
177,lutein zeaxanthin,AA1R_HUMAN,1118.22
178,oxytocin,AA1R_HUMAN,1121.51
179,benfotiamine,AA1R_HUMAN,1127.13
180,valencene,AA1R_HUMAN,1185.77
181,methylcobalamin,AA1R_HUMAN,1212.22
182,cbc,AA1R_HUMAN,1215.09
183,osa,AA1R_HUMAN,1241.45
184,indian pink,AA1R_HUMAN,1252.43
185,proanthocyanidin,AA1R_HUMAN,1273.62
186,s-acetyl-l-glutathione,AA1R_HUMAN,1274.46
187,decursin,AA1R_HUMAN,1282.76
188,brassicasterol,AA1R_HUMAN,1283.63
189,nmn,AA1R_HUMAN,1291.14
190,palmitoylethanolamide,AA1R_HUMAN,1296.04
