# UniProt_ID,P59533
# Target_name,T2R38_HUMAN Taste receptor type 2 member 38
# Molecules_screened,1687
# Generated_at,2025-08-21T21:35:03
#
Rank,Drug Name,Target Name,Binding Score
129,gkg,T2R38_HUMAN,455.30
130,b12,T2R38_HUMAN,479.49
131,(2s)-3-(4-cyanophenoxy)-n-[4-cyano-3-(trifluoromethyl)phenyl]-2-hydroxy-2-methylpropanamide,T2R38_HUMAN,482.36
132,glycolipids,T2R38_HUMAN,493.97
133,17-hydroxydocosahexaenoic acid,T2R38_HUMAN,496.31
134,dong quai,T2R38_HUMAN,501.64
135,vitamin a,T2R38_HUMAN,509.42
136,11-hydroxy-yohimbine,T2R38_HUMAN,517.49
137,progesterone,T2R38_HUMAN,519.03
138,anatabine,T2R38_HUMAN,520.39
139,dihydrocapsaicin,T2R38_HUMAN,525.23
140,max lmg,T2R38_HUMAN,536.51
141,theaflavins,T2R38_HUMAN,549.42
142,berberine sulfate hydrate,T2R38_HUMAN,549.68
143,picroliv,T2R38_HUMAN,554.59
144,l-glutathione,T2R38_HUMAN,568.48
145,oxytocin,T2R38_HUMAN,570.11
146,isopropyl myristate,T2R38_HUMAN,571.05
147,chlorophyll a,T2R38_HUMAN,576.04
148,schizandrol a,T2R38_HUMAN,576.59
149,cannabidiol,T2R38_HUMAN,588.61
150,zingiberene,T2R38_HUMAN,589.45
151,fucosterol,T2R38_HUMAN,609.49
152,s-23,T2R38_HUMAN,614.69
153,igm,T2R38_HUMAN,619.47
154,terpinolene,T2R38_HUMAN,622.61
155,nicotinamide adenine dinucleotide,T2R38_HUMAN,623.83
156,hecogenin acetate,T2R38_HUMAN,631.65
157,6-gingerol,T2R38_HUMAN,644.93
158,ethoxyquin,T2R38_HUMAN,658.14
159,ginkgolide c,T2R38_HUMAN,666.50
160,calcium magnesium phytate,T2R38_HUMAN,684.93
161,7;8-dihydroxyflavone,T2R38_HUMAN,686.58
162,5-htp,T2R38_HUMAN,686.78
163,adenosine triphosphate disodium,T2R38_HUMAN,704.88
164,epiandrosterone,T2R38_HUMAN,708.83
165,tokyo violet,T2R38_HUMAN,717.51
166,vinpocetine,T2R38_HUMAN,724.03
167,zinc tannate,T2R38_HUMAN,728.99
168,indian pink,T2R38_HUMAN,733.39
169,adenosylcobalamin,T2R38_HUMAN,734.45
170,ginsenoside rg3,T2R38_HUMAN,734.57
171,n-benzoyl-l-phenylalanine methyl ester,T2R38_HUMAN,739.98
172,peroxidase,T2R38_HUMAN,743.79
173,geranyl acetate,T2R38_HUMAN,755.90
174,3-iodotyrosine,T2R38_HUMAN,758.86
175,3beta-acetoxy-5alpha-androstan-17-one,T2R38_HUMAN,759.43
